task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
50	08/0bac41	1684573	PRUNE (CK_00000055)	CACHED	0	2026-09-02 13:00:28.068	7.9s	5.7s	-	-	-	-	-
49	ab/5a88c7	1683664	PRUNE (CK_00000011)	CACHED	0	2026-09-02 13:00:18.069	7.8s	7.6s	-	-	-	-	-
48	51/b35e1d	1683876	PRUNE (CK_00001282)	CACHED	0	2026-09-02 13:00:20.068	7.7s	5.6s	-	-	-	-	-
47	27/fd0794	1684079	PRUNE (CK_00001263)	CACHED	0	2026-09-02 13:00:22.068	8.2s	8.1s	-	-	-	-	-
43	07/64aeb6	1684745	PRUNE (CK_00051364)	CACHED	0	2026-09-02 13:00:30.068	7.7s	7.5s	-	-	-	-	-
2	09/01333e	13124128	SPLIT_CUSTOM_PREDICTIONS (1)	CACHED	0	2026-09-02 12:59:26.456	3m	2m 30s	-	-	-	-	-
59	7c/a33305	1689032	MAP_TO_MSA (CK_00000011)	CACHED	0	2026-09-02 13:05:56.156	10s	312ms	-	-	-	-	-
60	74/9b6f18	1687283	MAP_TO_MSA (CK_00000055)	CACHED	0	2026-09-02 13:02:56.156	9.3s	0ms	-	-	-	-	-
61	1c/6a77e9	1687924	MAP_TO_MSA (CK_00000105)	CACHED	0	2026-09-02 13:03:56.157	9.6s	331ms	-	-	-	-	-
62	04/afe8cb	1686197	MAP_TO_MSA (CK_00001102)	CACHED	0	2026-09-02 13:02:26.496	9.5s	61ms	-	-	-	-	-
64	b4/5715d9	1686309	MAP_TO_MSA (CK_00001282)	CACHED	0	2026-09-02 13:02:29.495	8.7s	2.3s	-	-	-	-	-
63	bd/4d86ac	1686232	MAP_TO_MSA (CK_00001263)	CACHED	0	2026-09-02 13:02:27.495	8.4s	0ms	-	-	-	-	-
65	d4/6ea4ea	1686465	MAP_TO_MSA (CK_00001561)	CACHED	0	2026-09-02 13:02:31.495	8.5s	4.1s	-	-	-	-	-
66	66/d769a1	1686613	MAP_TO_MSA (CK_00051364)	CACHED	0	2026-09-02 13:02:33.496	8.5s	6.1s	-	-	-	-	-
56	b9/f8edb0	13124385_0	TREE (CK_00051364)	FAILED	1	2026-09-02 14:41:03.808	29.3s	3ms	-	-	-	-	-
58	ed/db94cd	13124385_1	TREE (CK_00001282)	FAILED	1	2026-09-02 14:41:03.808	29.4s	2ms	-	-	-	-	-
53	5f/bd8712	13124385_2	TREE (CK_00000105)	FAILED	1	2026-09-02 14:41:03.808	29.4s	1ms	-	-	-	-	-
51	d0/601834	13124385_3	TREE (CK_00001561)	FAILED	1	2026-09-02 14:41:03.808	29.4s	3ms	-	-	-	-	-
52	b4/f3c400	13124385_4	TREE (CK_00001102)	FAILED	1	2026-09-02 14:41:03.808	29.4s	1ms	-	-	-	-	-
55	35/c4bebf	13124385_5	TREE (CK_00000011)	FAILED	1	2026-09-02 14:41:03.808	29.4s	1ms	-	-	-	-	-
57	73/367dfa	13124385_6	TREE (CK_00001263)	FAILED	1	2026-09-02 14:41:03.808	29.4s	3ms	-	-	-	-	-
54	5b/a5b2fd	13124385_7	TREE (CK_00000055)	FAILED	1	2026-09-02 14:41:03.808	29.4s	1ms	-	-	-	-	-
67	a1/43328b	13124394	TREE (CK_00051364)	FAILED	1	2026-09-02 14:41:33.210	29.9s	3ms	-	-	-	-	-
68	7f/8dd484	13124395	TREE (CK_00001282)	FAILED	1	2026-09-02 14:41:34.205	29s	1ms	-	-	-	-	-
69	31/fb4180	13124396	TREE (CK_00000105)	FAILED	1	2026-09-02 14:41:36.201	27s	2ms	-	-	-	-	-
70	dc/6d1d7d	13124397	TREE (CK_00001561)	FAILED	1	2026-09-02 14:41:38.237	24.9s	2ms	-	-	-	-	-
71	20/be684e	13124398	TREE (CK_00001102)	FAILED	1	2026-09-02 14:41:40.195	23s	2ms	-	-	-	-	-
72	35/70dcc2	13124399	TREE (CK_00000011)	FAILED	1	2026-09-02 14:41:42.202	21s	2ms	-	-	-	-	-
73	95/e70514	13124400	TREE (CK_00001263)	FAILED	1	2026-09-02 14:41:44.208	19s	2ms	-	-	-	-	-
74	c0/4c0e04	13124401	TREE (CK_00000055)	FAILED	1	2026-09-02 14:41:46.209	17s	1ms	-	-	-	-	-
77	4e/2c69fa	13124322_4	COLLECT (CK_00000055)	CACHED	0	2026-09-02 13:54:26.261	29.9s	1ms	-	-	-	-	-
83	2d/d20b40	13124322_6	COLLECT (CK_00001282)	CACHED	0	2026-09-02 13:54:26.261	30s	1ms	-	-	-	-	-
84	a3/2a27f0	13124322_0	COLLECT (CK_00001263)	CACHED	0	2026-09-02 13:54:26.261	29.9s	0ms	-	-	-	-	-
80	e4/563318	13124322_1	COLLECT (CK_00000011)	CACHED	0	2026-09-02 13:54:26.261	29.9s	0ms	-	-	-	-	-
85	35/497e89	13124322_2	COLLECT (CK_00001561)	CACHED	0	2026-09-02 13:54:26.261	29.9s	1ms	-	-	-	-	-
82	ac/b5a681	13124322_5	COLLECT (CK_00001102)	CACHED	0	2026-09-02 13:54:26.261	29.9s	1ms	-	-	-	-	-
86	2d/a0f1f1	13124322_7	COLLECT (CK_00051364)	CACHED	0	2026-09-02 13:54:26.261	30s	0ms	-	-	-	-	-
81	87/3be4a9	13124322_3	COLLECT (CK_00000105)	CACHED	0	2026-09-02 13:54:26.261	29.9s	3ms	-	-	-	-	-
79	70/e5b39f	1797167	PLOT_DSSP (CK_00001561)	CACHED	0	2026-09-02 13:54:31.204	9.6s	4.6s	-	-	-	-	-
75	c9/684a6f	1797016	PLOT_DSSP (CK_00000105)	CACHED	0	2026-09-02 13:54:29.205	11.8s	4.8s	-	-	-	-	-
78	6d/f2de72	1796851	PLOT_OG (CK_00001561)	CACHED	0	2026-09-02 13:54:26.204	17.1s	7.2s	-	-	-	-	-
76	1e/64e9f6	1796901	PLOT_OG (CK_00000105)	CACHED	0	2026-09-02 13:54:27.205	16.8s	7.9s	-	-	-	-	-
87	10/e4cd41	13124341	GLOBAL_STATS (1)	CACHED	0	2026-09-02 13:54:56.866	29.3s	4ms	-	-	-	-	-
